1, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 940, 1450, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 940, 1450, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 940, 1450, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 470, 725, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 470, 725, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 470, 725, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 470, 725, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 470, 725, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 470, 725, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 938, 1448, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 938, 1448, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 940, 1450, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 940, 1450, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 118, 182, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
1, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 30, 46, 2016, 1, 1, 2048, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 30, 46, 2016, 1, 1, 2048, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 30, 46, 2016, 1, 1, 2048, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 938, 1448, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 938, 1448, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
10, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 30, 46, 2016, 1, 1, 1536, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 30, 46, 2016, 1, 1, 1536, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 30, 46, 2016, 1, 1, 1536, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 30, 46, 2016, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 8, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 224, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 235, 362, 224, 1, 1, 448, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 938, 1448, 3, 3, 3, 32, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 469, 724, 32, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 469, 724, 32, 1, 1, 224, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 938, 1448, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 938, 1448, 4, 1, 1, 3, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 448, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 448, 1, 1, 56, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 118, 181, 448, 1, 1, 896, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 56, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 56, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 8, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 896, 1, 1, 112, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 1, 1, 896, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 2016, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 2016, 2, 2, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
12, 59, 91, 896, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 112, 1, 1, 448, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 112, 1, 1, 896, 1, 1, conv_2d_nchw_fchw, bf16, f32
14, 1, 1, 2016, 1, 1, 224, 1, 1, conv_2d_nchw_fchw, bf16, f32
